Rank,Tag,Machine Name,Asset Tag,Cash Revenue,Bonus Cash,Token Play,Points,Time Base Play Revenue,Points Cash Value Paid,Coin Play,Time Based Play,EMP Plays,% Payout,Average Play Value,Percent of Total Sale,Facility,ImagePath
29,20,Pop the Lock,20,"$1,897.94 ",$409.82 ,0,33948,"$2,367.00 ",$339.48 ,"1,660","1,578",49,14.71,$1.39 ,1.09,Mill Creek,img/PopTheLock.jpg
60,55,Milk Jug Toss,55,"$1,151.47 ",$242.03 ,0,9420,"$1,215.00 ",$94.20 ,929,810,23,6.76,$1.50 ,0.66,Mill Creek,img/MileJugToss.jpg
63,38,Minion Whacker,38,"$1,082.00 ",$296.50 ,0,154024,$717.00 ,"$1,540.24 ",970,478,12,111.73,$1.42 ,0.62,Mill Creek,img/MinionWhacker.jpg
91,32,KC Cobra,32,$651.50 ,$175.50 ,0,20600,$149.00 ,$206.00 ,860,149,37,24.91,$0.96 ,0.37,Mill Creek,img/KCCobra.jpg
98,37,Circus Ball Drop,37,$552.17 ,$125.60 ,0,17944,$747.50 ,$179.44 ,578,598,14,26.48,$1.17 ,0.32,Mill Creek,img/CircusBallDrop.jpg
102,56,2 Minute Drill,56,$446.45 ,$102.55 ,0,2380,$760.50 ,$23.80 ,385,507,17,4.34,$1.43 ,0.26,Mill Creek,img/2MinuteDrill.jpg
112,136,Card Balanace Station,136,$0.00 ,$0.00 ,0,,$0.00 ,$0.00 ,0,0,0,0,$0.00 ,0,Mill Creek,img/CardBalanceStation.jpg
65,67,Space Invaders 2,67,"$1,053.34 ",$376.66 ,0,,"$1,594.00 ",$0.00 ,762,797,1,0,$1.88 ,0.6,Mill Creek,img/SpaceInvaders.jpg
71,53,Space Invaders 1,53,$985.00 ,$368.00 ,0,,"$1,528.00 ",$0.00 ,724,764,2,0,$1.87 ,0.56,Mill Creek,img/SpaceInvaders.jpg
110,26,Ticket Time 2,26,$216.75 ,$63.75 ,0,4300,$0.00 ,$43.00 ,221,0,5,15.33,$1.27 ,0.12,Mill Creek,img/TicketTime.jpg
112,21,Ticket Time (L),21,$0.00 ,$0.00 ,0,,$0.00 ,$0.00 ,0,0,0,0,$0.00 ,0,Mill Creek,img/TicketTime.jpg
37,75,Tower of Tickets (Green),75,"$1,757.76 ",$310.74 ,0,74886,$0.00 ,$748.86 ,"1,490",0,1,36.2,$1.39 ,1.01,Mill Creek,img/TowerOfTickets.jpg
41,76,Tower of Tickets (Red),76,"$1,658.94 ",$267.81 ,0,35890,$0.00 ,$358.90 ,"1,373",0,6,18.63,$1.40 ,0.95,Mill Creek,img/TowerOfTickets.jpg
47,71,Tower of Tickets (Yellow),71,"$1,472.86 ",$291.89 ,0,114804,$0.00 ,"$1,148.04 ","1,331",0,7,65.05,$1.33 ,0.84,Mill Creek,img/TowerOfTickets.jpg
59,74,Tower of Tickets (Blue),74,"$1,159.49 ",$263.26 ,0,67069,$0.00 ,$670.69 ,"1,020",0,3,47.14,$1.39 ,0.66,Mill Creek,img/TowerOfTickets.jpg
23,115,Wizard of Oz (Scarecrow),115,"$2,200.97 ",$293.03 ,0,,$0.00 ,$0.00 ,"1,396",0,58,0,$1.79 ,1.26,Mill Creek,img/WizardOfOz.jpg
24,114,Wizard of Oz (Dorothy),114,"$2,084.34 ",$354.67 ,0,,$0.00 ,$0.00 ,"1,405",0,28,0,$1.74 ,1.19,Mill Creek,img/WizardOfOz.jpg
32,118,Wizard of Oz (Wicked Witch),118,"$1,815.25 ",$305.75 ,0,,$0.00 ,$0.00 ,"1,142",0,57,0,$1.86 ,1.04,Mill Creek,img/WizardOfOz.jpg
35,119,Wizard of Oz (Glinda),119,"$1,763.85 ",$308.15 ,0,,$0.00 ,$0.00 ,"1,197",0,69,0,$1.73 ,1.01,Mill Creek,img/WizardOfOz.jpg
36,116,Wizard of Oz (Cowardly Lion),116,"$1,763.49 ",$294.51 ,0,,$0.00 ,$0.00 ,"1,168",0,51,0,$1.76 ,1.01,Mill Creek,img/WizardOfOz.jpg
81,117,Wizard of Oz (Tinman),117,$871.00 ,$236.00 ,0,,$0.00 ,$0.00 ,568,0,8,0,$1.95 ,0.5,Mill Creek,img/WizardOfOz.jpg
